p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.90E-33,0.254941593,0.482,0.375,5.70E-29,0,PWAR6
2.04E-33,0.279777406,0.72,0.634,6.11E-29,0,ZCCHC7
1.32E-32,0.287512583,0.545,0.45,3.96E-28,0,ALG13
2.91E-32,0.269034775,0.47,0.367,8.69E-28,0,FBXL2
3.40E-31,0.257692638,0.494,0.39,1.02E-26,0,GPI
6.87E-31,0.250395809,0.443,0.341,2.05E-26,0,SLC9A7
1.26E-30,0.250790958,0.452,0.351,3.78E-26,0,ACSL4
4.67E-30,0.261117986,0.974,0.959,1.40E-25,0,RASGEF1B
7.50E-30,0.323694017,0.665,0.566,2.24E-25,0,SCFD2
3.56E-27,0.251846816,0.66,0.593,1.06E-22,0,GBF1
8.54E-25,0.253256792,0.367,0.267,2.55E-20,0,FRMPD4
1.46E-24,0.268376023,0.377,0.28,4.37E-20,0,EPHA6
1.80E-24,0.250838262,0.558,0.484,5.37E-20,0,GPR173
1.24E-21,0.274393059,0.461,0.373,3.72E-17,0,TOX
6.11E-20,0.265861618,0.154,0.096,1.83E-15,0,AC114316.2
2.56E-18,0.250779271,0.569,0.518,7.66E-14,0,GNAS
3.48E-17,0.334540595,0.483,0.414,1.04E-12,0,RBFOX1
7.54E-16,0.382089327,0.593,0.548,2.26E-11,0,PPP1R9A
1.05E-15,0.25927678,0.792,0.744,3.14E-11,0,FOXN3
7.96E-07,0.276313115,0.543,0.488,0.023808141,0,ADARB2
0,0.980305088,0.337,0.054,0,1,KHDRBS2
0,0.688297884,0.279,0.046,0,1,MIR4713HG
0,0.576767982,0.199,0.009,0,1,GATA3
1.96E-305,1.151383649,0.609,0.221,5.87E-301,1,AC022639.1
4.76E-274,0.999930158,0.278,0.055,1.42E-269,1,UNC5D
1.13E-271,0.996653367,0.45,0.131,3.37E-267,1,EBF1
2.68E-252,0.864684903,0.981,0.777,8.01E-248,1,ANK3
2.24E-246,1.334611054,0.811,0.477,6.69E-242,1,ERBB4
2.65E-245,1.149491629,0.866,0.54,7.91E-241,1,TENM2
4.27E-225,0.736585881,0.672,0.308,1.28E-220,1,RAB3C
3.94E-207,0.827620121,0.905,0.628,1.18E-202,1,AC233296.1
1.80E-206,0.731849526,0.999,0.967,5.39E-202,1,SNHG14
2.56E-190,0.721366178,0.763,0.408,7.65E-186,1,STMN2
6.01E-187,0.916635996,0.854,0.579,1.80E-182,1,FGF14
3.83E-178,0.70438439,0.951,0.727,1.15E-173,1,DCX
3.18E-172,0.64822829,0.87,0.564,9.50E-168,1,GABRB3
1.35E-171,0.508898761,0.361,0.121,4.03E-167,1,PKIB
3.59E-167,0.647796573,0.734,0.412,1.07E-162,1,SCN3A
1.58E-166,0.680919077,0.972,0.809,4.72E-162,1,CTNNA2
2.60E-166,0.670967603,0.899,0.642,7.77E-162,1,RIMS2
9.78E-164,0.335453903,0.152,0.027,2.93E-159,1,GNGT1
3.40E-162,0.864064342,0.646,0.336,1.02E-157,1,PBX3
5.92E-162,0.624661942,0.959,0.716,1.77E-157,1,PTPRN2
2.51E-161,0.589930667,0.667,0.329,7.50E-157,1,GREB1L
2.64E-153,0.272697884,0.156,0.03,7.88E-149,1,GABRA2
1.93E-152,0.727291968,0.619,0.311,5.77E-148,1,RUNX1T1
1.88E-144,0.884927196,0.69,0.411,5.62E-140,1,ZFHX3
7.20E-144,0.591957483,0.988,0.935,2.15E-139,1,GPHN
5.49E-143,0.694492552,0.642,0.329,1.64E-138,1,GRIA4
8.01E-141,0.657859658,0.91,0.733,2.40E-136,1,NOVA1
8.04E-141,0.689492785,0.959,0.836,2.41E-136,1,FAM155A
3.83E-136,0.607306356,0.894,0.653,1.14E-131,1,PPFIA2
4.08E-134,0.573636092,0.891,0.725,1.22E-129,1,SNRPN
4.11E-133,0.874532279,0.653,0.374,1.23E-128,1,THSD7A
1.51E-132,0.353700699,0.199,0.051,4.52E-128,1,LINC02428
5.22E-131,0.594605855,0.672,0.377,1.56E-126,1,SRRM4
1.49E-129,0.601695355,0.764,0.476,4.45E-125,1,MIAT
2.52E-128,0.403709088,0.353,0.134,7.53E-124,1,VAV3
6.83E-127,0.865027389,0.356,0.142,2.04E-122,1,NCAM2
8.54E-127,0.377577587,0.392,0.159,2.55E-122,1,MIR124-2HG
3.04E-123,0.499493375,0.604,0.327,9.10E-119,1,PLEKHA6
3.17E-122,0.370055588,0.379,0.153,9.47E-118,1,CXXC4
1.33E-119,0.551877636,0.864,0.642,3.99E-115,1,SGIP1
2.42E-118,0.538928359,0.822,0.519,7.25E-114,1,MYT1L
4.43E-117,0.458551065,0.422,0.187,1.33E-112,1,AL445623.2
2.08E-115,0.536053812,0.387,0.164,6.21E-111,1,GLRA2
1.06E-114,0.950358573,0.329,0.131,3.16E-110,1,AC109466.1
2.97E-113,1.101165884,0.825,0.663,8.90E-109,1,ROBO1
4.07E-112,0.526808077,0.785,0.506,1.22E-107,1,XKR4
8.25E-112,0.71290251,0.388,0.178,2.47E-107,1,CDH8
2.20E-111,0.445642912,0.595,0.331,6.57E-107,1,EPB41L1
